"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка логина с не корректными кредами","1074","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Firefox","tests.LoginTest","negativeLogin"
"Проверка логина с корректными кредами","1481","Проверка логина с корректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithPositiveCred"
"","781","Проверка наличия на странице корректного списка продуктов","SauceDemo","2026-05-30","passed","2026-05-30","tests.ProductsTest","Chrome","tests.ProductsTest","checkProducts"
"Проверка наличия в корзине добавленного продукта","1245","Проверка наличия в корзине добавленного продукта","SauceDemo","2026-05-30","passed","2026-05-30","tests.CartTest","Chrome","tests.CartTest","checkAddedProductInCart"
"","875","Проверка сортировки в обратном алфавитном порядке","SauceDemo","2026-05-30","passed","2026-05-30","tests.ProductsTest","Chrome","tests.ProductsTest","sortByNameZATest"
"","1398","Проверка сортировки по убыванию","SauceDemo","2026-05-30","passed","2026-05-30","tests.ProductsTest","Firefox","tests.ProductsTest","sortByPriceDescTest"
"Проверка логина с не корректными кредами","1081","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Firefox","tests.LoginTest","negativeLogin"
"","1584","Проверка добавления в корзину нескольких продуктов","SauceDemo","2026-05-30","passed","2026-05-30","tests.CartTest","Chrome","tests.CartTest","checkSeveralProductsInCart"
"","878","Проверка сортировки в алфавитном порядке","SauceDemo","2026-05-30","passed","2026-05-30","tests.ProductsTest","Chrome","tests.ProductsTest","sortByNameAZTest"
"Проверка логина с не корректными кредами","658","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"","11434","Проверка добавления и удаления товаров из корзины","SauceDemo","2026-05-30","passed","2026-05-30","tests.ProductsTest","Firefox","tests.ProductsTest","checkAddRemoveChart"
"Проверка логина с не корректными кредами","1065","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Firefox","tests.LoginTest","negativeLogin"
"Проверка логина с не корректными кредами","1038","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Firefox","tests.LoginTest","negativeLogin"
"Проверка наличия в корзине добавленного продукта","1456","Проверка наличия в корзине добавленного продукта","SauceDemo","2026-05-30","passed","2026-05-30","tests.CartTest","Firefox","tests.CartTest","checkAddedProductInCart"
"","870","Проверка сортировки по убыванию","SauceDemo","2026-05-30","passed","2026-05-30","tests.ProductsTest","Chrome","tests.ProductsTest","sortByPriceDescTest"
"","1300","Проверка сортировки по возрастанию","SauceDemo","2026-05-30","passed","2026-05-30","tests.ProductsTest","Firefox","tests.ProductsTest","sortByPriceAscTest"
"Проверка логина с не корректными кредами","1046","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Firefox","tests.LoginTest","negativeLogin"
"Проверка логина с корректными кредами","1836","Проверка логина с корректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","11563","Проверка удаления продукта из корзины","SauceDemo","2026-05-30","passed","2026-05-30","tests.CartTest","Firefox","tests.CartTest","checkRemoveProductFromCart"
"Проверка логина с не корректными кредами","667","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"Проверка логина с не корректными кредами","663","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"Проверка логина с не корректными кредами","647","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"","1388","Проверка сортировки в алфавитном порядке","SauceDemo","2026-05-30","passed","2026-05-30","tests.ProductsTest","Firefox","tests.ProductsTest","sortByNameAZTest"
"","11160","Проверка удаления продукта из корзины","SauceDemo","2026-05-30","passed","2026-05-30","tests.CartTest","Chrome","tests.CartTest","checkRemoveProductFromCart"
"","10992","Проверка добавления и удаления товаров из корзины","SauceDemo","2026-05-30","passed","2026-05-30","tests.ProductsTest","Chrome","tests.ProductsTest","checkAddRemoveChart"
"","1309","Проверка сортировки в обратном алфавитном порядке","SauceDemo","2026-05-30","passed","2026-05-30","tests.ProductsTest","Firefox","tests.ProductsTest","sortByNameZATest"
"","1875","Проверка добавления в корзину нескольких продуктов","SauceDemo","2026-05-30","passed","2026-05-30","tests.CartTest","Firefox","tests.CartTest","checkSeveralProductsInCart"
"","852","Проверка сортировки по возрастанию","SauceDemo","2026-05-30","passed","2026-05-30","tests.ProductsTest","Chrome","tests.ProductsTest","sortByPriceAscTest"
"","1129","Проверка наличия на странице корректного списка продуктов","SauceDemo","2026-05-30","passed","2026-05-30","tests.ProductsTest","Firefox","tests.ProductsTest","checkProducts"
"Проверка логина с не корректными кредами","672","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
