"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка логина с не корректными кредами","1022","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Firefox","tests.LoginTest","negativeLogin"
"Проверка логина с не корректными кредами","1023","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Firefox","tests.LoginTest","negativeLogin"
"Проверка логина с не корректными кредами","1083","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Firefox","tests.LoginTest","negativeLogin"
"","559","Проверка добавления и удаления товаров из корзины","SauceDemo","2026-05-30","failed","2026-05-30","tests.ProductsTest","Chrome","tests.ProductsTest","checkAddRemoveChart"
"Проверка логина с не корректными кредами","554","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"","561","Проверка добавления в корзину нескольких продуктов","SauceDemo","2026-05-30","failed","2026-05-30","tests.CartTest","Chrome","tests.CartTest","checkSeveralProductsInCart"
"","550","Проверка удаления продукта из корзины","SauceDemo","2026-05-30","failed","2026-05-30","tests.CartTest","Chrome","tests.CartTest","checkRemoveProductFromCart"
"","1040","Проверка сортировки в алфавитном порядке","SauceDemo","2026-05-30","failed","2026-05-30","tests.ProductsTest","Firefox","tests.ProductsTest","sortByNameAZTest"
"Проверка логина с не корректными кредами","555","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"Проверка логина с не корректными кредами","1058","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Firefox","tests.LoginTest","negativeLogin"
"","1128","Проверка добавления и удаления товаров из корзины","SauceDemo","2026-05-30","failed","2026-05-30","tests.ProductsTest","Firefox","tests.ProductsTest","checkAddRemoveChart"
"","1068","Проверка сортировки по возрастанию","SauceDemo","2026-05-30","failed","2026-05-30","tests.ProductsTest","Firefox","tests.ProductsTest","sortByPriceAscTest"
"Проверка логина с не корректными кредами","529","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"","1144","Проверка сортировки по убыванию","SauceDemo","2026-05-30","failed","2026-05-30","tests.ProductsTest","Firefox","tests.ProductsTest","sortByPriceDescTest"
"","1081","Проверка сортировки в обратном алфавитном порядке","SauceDemo","2026-05-30","failed","2026-05-30","tests.ProductsTest","Firefox","tests.ProductsTest","sortByNameZATest"
"","540","Проверка наличия на странице корректного списка продуктов","SauceDemo","2026-05-30","failed","2026-05-30","tests.ProductsTest","Chrome","tests.ProductsTest","checkProducts"
"Проверка наличия в корзине добавленного продукта","567","Проверка наличия в корзине добавленного продукта","SauceDemo","2026-05-30","failed","2026-05-30","tests.CartTest","Chrome","tests.CartTest","checkAddedProductInCart"
"","1044","Проверка наличия на странице корректного списка продуктов","SauceDemo","2026-05-30","failed","2026-05-30","tests.ProductsTest","Firefox","tests.ProductsTest","checkProducts"
"","557","Проверка сортировки по возрастанию","SauceDemo","2026-05-30","failed","2026-05-30","tests.ProductsTest","Chrome","tests.ProductsTest","sortByPriceAscTest"
"Проверка логина с корректными кредами","577","Проверка логина с корректными кредами","SauceDemo","2026-05-30","failed","2026-05-30","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"Проверка логина с не корректными кредами","552","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"Проверка наличия в корзине добавленного продукта","1175","Проверка наличия в корзине добавленного продукта","SauceDemo","2026-05-30","failed","2026-05-30","tests.CartTest","Firefox","tests.CartTest","checkAddedProductInCart"
"","569","Проверка сортировки в обратном алфавитном порядке","SauceDemo","2026-05-30","failed","2026-05-30","tests.ProductsTest","Chrome","tests.ProductsTest","sortByNameZATest"
"","1165","Проверка удаления продукта из корзины","SauceDemo","2026-05-30","failed","2026-05-30","tests.CartTest","Firefox","tests.CartTest","checkRemoveProductFromCart"
"Проверка логина с не корректными кредами","1059","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Firefox","tests.LoginTest","negativeLogin"
"Проверка логина с не корректными кредами","563","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"","573","Проверка сортировки по убыванию","SauceDemo","2026-05-30","failed","2026-05-30","tests.ProductsTest","Chrome","tests.ProductsTest","sortByPriceDescTest"
"Проверка логина с корректными кредами","1050","Проверка логина с корректными кредами","SauceDemo","2026-05-30","failed","2026-05-30","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithPositiveCred"
"","560","Проверка сортировки в алфавитном порядке","SauceDemo","2026-05-30","failed","2026-05-30","tests.ProductsTest","Chrome","tests.ProductsTest","sortByNameAZTest"
"","972","Проверка добавления в корзину нескольких продуктов","SauceDemo","2026-05-30","failed","2026-05-30","tests.CartTest","Firefox","tests.CartTest","checkSeveralProductsInCart"
