"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка логина с не корректными кредами","587","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"","1136","Проверка сортировки по убыванию","SauceDemo","2026-05-30","failed","2026-05-30","tests.ProductsTest","Firefox","tests.ProductsTest","sortByPriceDescTest"
"","1151","Проверка добавления и удаления товаров из корзины","SauceDemo","2026-05-30","failed","2026-05-30","tests.ProductsTest","Firefox","tests.ProductsTest","checkAddRemoveChart"
"Проверка логина с не корректными кредами","572","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"Проверка логина с не корректными кредами","1200","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Firefox","tests.LoginTest","negativeLogin"
"Проверка логина с не корректными кредами","550","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"Проверка логина с не корректными кредами","584","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"","580","Проверка сортировки по возрастанию","SauceDemo","2026-05-30","failed","2026-05-30","tests.ProductsTest","Chrome","tests.ProductsTest","sortByPriceAscTest"
"","572","Проверка сортировки в обратном алфавитном порядке","SauceDemo","2026-05-30","failed","2026-05-30","tests.ProductsTest","Chrome","tests.ProductsTest","sortByNameZATest"
"Проверка логина с не корректными кредами","964","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Firefox","tests.LoginTest","negativeLogin"
"Проверка логина с не корректными кредами","988","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Firefox","tests.LoginTest","negativeLogin"
"","1093","Проверка удаления продукта из корзины","SauceDemo","2026-05-30","failed","2026-05-30","tests.CartTest","Firefox","tests.CartTest","checkRemoveProductFromCart"
"","559","Проверка наличия на странице корректного списка продуктов","SauceDemo","2026-05-30","failed","2026-05-30","tests.ProductsTest","Chrome","tests.ProductsTest","checkProducts"
"","555","Проверка сортировки в алфавитном порядке","SauceDemo","2026-05-30","failed","2026-05-30","tests.ProductsTest","Chrome","tests.ProductsTest","sortByNameAZTest"
"","1095","Проверка сортировки в обратном алфавитном порядке","SauceDemo","2026-05-30","failed","2026-05-30","tests.ProductsTest","Firefox","tests.ProductsTest","sortByNameZATest"
"","1150","Проверка сортировки по возрастанию","SauceDemo","2026-05-30","failed","2026-05-30","tests.ProductsTest","Firefox","tests.ProductsTest","sortByPriceAscTest"
"","564","Проверка удаления продукта из корзины","SauceDemo","2026-05-30","failed","2026-05-30","tests.CartTest","Chrome","tests.CartTest","checkRemoveProductFromCart"
"","1163","Проверка добавления в корзину нескольких продуктов","SauceDemo","2026-05-30","failed","2026-05-30","tests.CartTest","Firefox","tests.CartTest","checkSeveralProductsInCart"
"Проверка логина с корректными кредами","1015","Проверка логина с корректными кредами","SauceDemo","2026-05-30","failed","2026-05-30","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithPositiveCred"
"Проверка логина с не корректными кредами","533","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"Проверка логина с не корректными кредами","1104","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Firefox","tests.LoginTest","negativeLogin"
"","553","Проверка добавления и удаления товаров из корзины","SauceDemo","2026-05-30","failed","2026-05-30","tests.ProductsTest","Chrome","tests.ProductsTest","checkAddRemoveChart"
"","1064","Проверка сортировки в алфавитном порядке","SauceDemo","2026-05-30","failed","2026-05-30","tests.ProductsTest","Firefox","tests.ProductsTest","sortByNameAZTest"
"","545","Проверка сортировки по убыванию","SauceDemo","2026-05-30","failed","2026-05-30","tests.ProductsTest","Chrome","tests.ProductsTest","sortByPriceDescTest"
"Проверка логина с не корректными кредами","1000","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Firefox","tests.LoginTest","negativeLogin"
"","1050","Проверка наличия на странице корректного списка продуктов","SauceDemo","2026-05-30","failed","2026-05-30","tests.ProductsTest","Firefox","tests.ProductsTest","checkProducts"
"Проверка наличия в корзине добавленного продукта","1087","Проверка наличия в корзине добавленного продукта","SauceDemo","2026-05-30","failed","2026-05-30","tests.CartTest","Firefox","tests.CartTest","checkAddedProductInCart"
"Проверка наличия в корзине добавленного продукта","563","Проверка наличия в корзине добавленного продукта","SauceDemo","2026-05-30","failed","2026-05-30","tests.CartTest","Chrome","tests.CartTest","checkAddedProductInCart"
"Проверка логина с корректными кредами","580","Проверка логина с корректными кредами","SauceDemo","2026-05-30","failed","2026-05-30","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","567","Проверка добавления в корзину нескольких продуктов","SauceDemo","2026-05-30","failed","2026-05-30","tests.CartTest","Chrome","tests.CartTest","checkSeveralProductsInCart"
