"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","594","Проверка добавления и удаления товаров из корзины","SauceDemo","2026-05-30","failed","2026-05-30","tests.ProductsTest","Chrome","tests.ProductsTest","checkAddRemoveChart"
"","1095","Проверка наличия на странице корректного списка продуктов","SauceDemo","2026-05-30","failed","2026-05-30","tests.ProductsTest","Firefox","tests.ProductsTest","checkProducts"
"Проверка логина с не корректными кредами","605","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"","665","Проверка добавления в корзину нескольких продуктов","SauceDemo","2026-05-30","failed","2026-05-30","tests.CartTest","Chrome","tests.CartTest","checkSeveralProductsInCart"
"Проверка логина с не корректными кредами","1104","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Firefox","tests.LoginTest","negativeLogin"
"Проверка логина с корректными кредами","1169","Проверка логина с корректными кредами","SauceDemo","2026-05-30","failed","2026-05-30","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithPositiveCred"
"","1201","Проверка удаления продукта из корзины","SauceDemo","2026-05-30","failed","2026-05-30","tests.CartTest","Firefox","tests.CartTest","checkRemoveProductFromCart"
"","553","Проверка сортировки по возрастанию","SauceDemo","2026-05-30","failed","2026-05-30","tests.ProductsTest","Chrome","tests.ProductsTest","sortByPriceAscTest"
"","1184","Проверка добавления в корзину нескольких продуктов","SauceDemo","2026-05-30","failed","2026-05-30","tests.CartTest","Firefox","tests.CartTest","checkSeveralProductsInCart"
"","1009","Проверка сортировки в обратном алфавитном порядке","SauceDemo","2026-05-30","failed","2026-05-30","tests.ProductsTest","Firefox","tests.ProductsTest","sortByNameZATest"
"Проверка наличия в корзине добавленного продукта","1100","Проверка наличия в корзине добавленного продукта","SauceDemo","2026-05-30","failed","2026-05-30","tests.CartTest","Firefox","tests.CartTest","checkAddedProductInCart"
"Проверка наличия в корзине добавленного продукта","588","Проверка наличия в корзине добавленного продукта","SauceDemo","2026-05-30","failed","2026-05-30","tests.CartTest","Chrome","tests.CartTest","checkAddedProductInCart"
"","1055","Проверка сортировки в алфавитном порядке","SauceDemo","2026-05-30","failed","2026-05-30","tests.ProductsTest","Firefox","tests.ProductsTest","sortByNameAZTest"
"Проверка логина с не корректными кредами","585","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"","1157","Проверка добавления и удаления товаров из корзины","SauceDemo","2026-05-30","failed","2026-05-30","tests.ProductsTest","Firefox","tests.ProductsTest","checkAddRemoveChart"
"Проверка логина с не корректными кредами","598","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"","594","Проверка наличия на странице корректного списка продуктов","SauceDemo","2026-05-30","failed","2026-05-30","tests.ProductsTest","Chrome","tests.ProductsTest","checkProducts"
"","1138","Проверка сортировки по возрастанию","SauceDemo","2026-05-30","failed","2026-05-30","tests.ProductsTest","Firefox","tests.ProductsTest","sortByPriceAscTest"
"","1170","Проверка сортировки по убыванию","SauceDemo","2026-05-30","failed","2026-05-30","tests.ProductsTest","Firefox","tests.ProductsTest","sortByPriceDescTest"
"Проверка логина с не корректными кредами","557","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"","586","Проверка сортировки в обратном алфавитном порядке","SauceDemo","2026-05-30","failed","2026-05-30","tests.ProductsTest","Chrome","tests.ProductsTest","sortByNameZATest"
"","590","Проверка сортировки в алфавитном порядке","SauceDemo","2026-05-30","failed","2026-05-30","tests.ProductsTest","Chrome","tests.ProductsTest","sortByNameAZTest"
"","580","Проверка удаления продукта из корзины","SauceDemo","2026-05-30","failed","2026-05-30","tests.CartTest","Chrome","tests.CartTest","checkRemoveProductFromCart"
"Проверка логина с не корректными кредами","1150","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Firefox","tests.LoginTest","negativeLogin"
"Проверка логина с корректными кредами","597","Проверка логина с корректными кредами","SauceDemo","2026-05-30","failed","2026-05-30","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"Проверка логина с не корректными кредами","1162","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Firefox","tests.LoginTest","negativeLogin"
"","574","Проверка сортировки по убыванию","SauceDemo","2026-05-30","failed","2026-05-30","tests.ProductsTest","Chrome","tests.ProductsTest","sortByPriceDescTest"
"Проверка логина с не корректными кредами","558","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"Проверка логина с не корректными кредами","1220","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Firefox","tests.LoginTest","negativeLogin"
"Проверка логина с не корректными кредами","1123","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Firefox","tests.LoginTest","negativeLogin"
