"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1287","Проверка сортировки по убыванию","SauceDemo","2026-05-30","passed","2026-05-30","tests.ProductsTest","Firefox","tests.ProductsTest","sortByPriceDescTest"
"Проверка логина с не корректными кредами","535","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"Проверка наличия в корзине добавленного продукта","1484","Проверка наличия в корзине добавленного продукта","SauceDemo","2026-05-30","passed","2026-05-30","tests.CartTest","Firefox","tests.CartTest","checkAddedProductInCart"
"","747","Проверка сортировки в обратном алфавитном порядке","SauceDemo","2026-05-30","passed","2026-05-30","tests.ProductsTest","Chrome","tests.ProductsTest","sortByNameZATest"
"Проверка логина с корректными кредами","1364","Проверка логина с корректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithPositiveCred"
"Проверка логина с не корректными кредами","1156","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Firefox","tests.LoginTest","negativeLogin"
"","755","Проверка сортировки в алфавитном порядке","SauceDemo","2026-05-30","passed","2026-05-30","tests.ProductsTest","Chrome","tests.ProductsTest","sortByNameAZTest"
"","11005","Проверка удаления продукта из корзины","SauceDemo","2026-05-30","passed","2026-05-30","tests.CartTest","Chrome","tests.CartTest","checkRemoveProductFromCart"
"","1395","Проверка сортировки по возрастанию","SauceDemo","2026-05-30","passed","2026-05-30","tests.ProductsTest","Firefox","tests.ProductsTest","sortByPriceAscTest"
"","10850","Проверка добавления и удаления товаров из корзины","SauceDemo","2026-05-30","passed","2026-05-30","tests.ProductsTest","Chrome","tests.ProductsTest","checkAddRemoveChart"
"Проверка логина с не корректными кредами","1155","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Firefox","tests.LoginTest","negativeLogin"
"","1435","Проверка добавления в корзину нескольких продуктов","SauceDemo","2026-05-30","passed","2026-05-30","tests.CartTest","Chrome","tests.CartTest","checkSeveralProductsInCart"
"Проверка логина с не корректными кредами","546","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"Проверка логина с не корректными кредами","535","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"","684","Проверка наличия на странице корректного списка продуктов","SauceDemo","2026-05-30","passed","2026-05-30","tests.ProductsTest","Chrome","tests.ProductsTest","checkProducts"
"Проверка наличия в корзине добавленного продукта","1069","Проверка наличия в корзине добавленного продукта","SauceDemo","2026-05-30","passed","2026-05-30","tests.CartTest","Chrome","tests.CartTest","checkAddedProductInCart"
"","11302","Проверка добавления и удаления товаров из корзины","SauceDemo","2026-05-30","passed","2026-05-30","tests.ProductsTest","Firefox","tests.ProductsTest","checkAddRemoveChart"
"Проверка логина с не корректными кредами","562","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"","731","Проверка сортировки по возрастанию","SauceDemo","2026-05-30","passed","2026-05-30","tests.ProductsTest","Chrome","tests.ProductsTest","sortByPriceAscTest"
"","1970","Проверка добавления в корзину нескольких продуктов","SauceDemo","2026-05-30","passed","2026-05-30","tests.CartTest","Firefox","tests.CartTest","checkSeveralProductsInCart"
"","11568","Проверка удаления продукта из корзины","SauceDemo","2026-05-30","passed","2026-05-30","tests.CartTest","Firefox","tests.CartTest","checkRemoveProductFromCart"
"Проверка логина с не корректными кредами","548","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"Проверка логина с корректными кредами","1975","Проверка логина с корректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"Проверка логина с не корректными кредами","1165","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Firefox","tests.LoginTest","negativeLogin"
"","1445","Проверка сортировки в обратном алфавитном порядке","SauceDemo","2026-05-30","passed","2026-05-30","tests.ProductsTest","Firefox","tests.ProductsTest","sortByNameZATest"
"Проверка логина с не корректными кредами","1075","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Firefox","tests.LoginTest","negativeLogin"
"","1295","Проверка наличия на странице корректного списка продуктов","SauceDemo","2026-05-30","passed","2026-05-30","tests.ProductsTest","Firefox","tests.ProductsTest","checkProducts"
"","727","Проверка сортировки по убыванию","SauceDemo","2026-05-30","passed","2026-05-30","tests.ProductsTest","Chrome","tests.ProductsTest","sortByPriceDescTest"
"Проверка логина с не корректными кредами","1058","Проверка логина с некорректными кредами","SauceDemo","2026-05-30","passed","2026-05-30","tests.LoginTest","Firefox","tests.LoginTest","negativeLogin"
"","1309","Проверка сортировки в алфавитном порядке","SauceDemo","2026-05-30","passed","2026-05-30","tests.ProductsTest","Firefox","tests.ProductsTest","sortByNameAZTest"
